State_Name District_Name Crop_Year Season Crop Area Production
AndamanandNicobarIslands NORTHANDMIDDLEANDAMAN 2000 WholeYear Cashewnut 80 54
AndamanandNicobarIslands NORTHANDMIDDLEANDAMAN 2000 WholeYear Coconut 6992 23900000
AndamanandNicobarIslands NORTHANDMIDDLEANDAMAN 2000 WholeYear Dryginger 352 1120
AndamanandNicobarIslands NORTHANDMIDDLEANDAMAN 2000 WholeYear otheroilseeds 133 55
AndamanandNicobarIslands NORTHANDMIDDLEANDAMAN 2000 WholeYear Sugarcane 141 3736
AndamanandNicobarIslands NORTHANDMIDDLEANDAMAN 2000 WholeYear Sweetpotato 78 843
AndamanandNicobarIslands NORTHANDMIDDLEANDAMAN 2000 WholeYear Tapioca 160 2108
AndamanandNicobarIslands NORTHANDMIDDLEANDAMAN 2001 Kharif Arecanut 3100 5239
AndamanandNicobarIslands NORTHANDMIDDLEANDAMAN 2001 Kharif OtherKharifpulses 418 199
AndamanandNicobarIslands NORTHANDMIDDLEANDAMAN 2001 Kharif Rice 9718 27033
AndamanandNicobarIslands NORTHANDMIDDLEANDAMAN 2001 WholeYear Cashewnut 81 33
AndamanandNicobarIslands NORTHANDMIDDLEANDAMAN 2001 WholeYear Coconut 7015 25250000
AndamanandNicobarIslands NORTHANDMIDDLEANDAMAN 2001 WholeYear Dryginger 344 1124
AndamanandNicobarIslands NORTHANDMIDDLEANDAMAN 2001 WholeYear Sugarcane 81 2379
AndamanandNicobarIslands NORTHANDMIDDLEANDAMAN 2001 WholeYear Sweetpotato 100 5
AndamanandNicobarIslands NORTHANDMIDDLEANDAMAN 2006 Kharif Rice 6854 18995
AndamanandNicobarIslands NORTHANDMIDDLEANDAMAN 2006 WholeYear Arecanut 1160 3011
AndamanandNicobarIslands NORTHANDMIDDLEANDAMAN 2006 WholeYear Banana 9577 8582
AndamanandNicobarIslands NORTHANDMIDDLEANDAMAN 2006 WholeYear Blackpepper 175 191
AndamanandNicobarIslands NORTHANDMIDDLEANDAMAN 2006 WholeYear Cashewnut 40 44
AndamanandNicobarIslands NORTHANDMIDDLEANDAMAN 2006 WholeYear Cashewnut 40 44
AndamanandNicobarIslands NORTHANDMIDDLEANDAMAN 2006 WholeYear Coconut 3575 15400000
AndamanandNicobarIslands NORTHANDMIDDLEANDAMAN 2006 WholeYear Drychillies 2352 824
AndamanandNicobarIslands NORTHANDMIDDLEANDAMAN 2006 WholeYear Dryginger 986 929
AndamanandNicobarIslands NORTHANDMIDDLEANDAMAN 2006 WholeYear otheroilseeds 352 21
AndamanandNicobarIslands NORTHANDMIDDLEANDAMAN 2006 WholeYear Sugarcane 71 1500
AndamanandNicobarIslands NORTHANDMIDDLEANDAMAN 2006 WholeYear Sweetpotato 30 240
AndamanandNicobarIslands NORTHANDMIDDLEANDAMAN 2006 WholeYear Tapioca 255 1420
AndamanandNicobarIslands NORTHANDMIDDLEANDAMAN 2006 WholeYear Turmeric 68 408
AndamanandNicobarIslands NORTHANDMIDDLEANDAMAN 2010 Autumn Rice 6791 20118
AndamanandNicobarIslands NORTHANDMIDDLEANDAMAN 2010 Autumn Sugarcane 73 889
AndamanandNicobarIslands NORTHANDMIDDLEANDAMAN 2010 Rabi Arecanut 1296 2290
AndamanandNicobarIslands NORTHANDMIDDLEANDAMAN 2010 Rabi ArharTur 294 90
AndamanandNicobarIslands NORTHANDMIDDLEANDAMAN 2010 Rabi Blackpepper 168 13
AndamanandNicobarIslands NORTHANDMIDDLEANDAMAN 2010 Rabi Cashewnut 84 39
AndamanandNicobarIslands NORTHANDMIDDLEANDAMAN 2010 Rabi Drychillies 254 402
AndamanandNicobarIslands NORTHANDMIDDLEANDAMAN 2010 Rabi Dryginger 110 10114
AndamanandNicobarIslands NORTHANDMIDDLEANDAMAN 2010 Rabi Groundnut 45 6
AndamanandNicobarIslands NORTHANDMIDDLEANDAMAN 2010 Rabi Maize 86 96
AndamanandNicobarIslands NORTHANDMIDDLEANDAMAN 2010 Rabi Moong(GreenGram) 1168 5565
AndamanandNicobarIslands NORTHANDMIDDLEANDAMAN 2010 Rabi Sunflower 2.9 1.9
AndamanandNicobarIslands NORTHANDMIDDLEANDAMAN 2010 Rabi Sweetpotato 109 480
AndamanandNicobarIslands NORTHANDMIDDLEANDAMAN 2010 Rabi Turmeric 68 376
AndamanandNicobarIslands NORTHANDMIDDLEANDAMAN 2010 Rabi Urad 1059 4589
AndamanandNicobarIslands NORTHANDMIDDLEANDAMAN 2010 WholeYear Banana 657 7968
AndamanandNicobarIslands NORTHANDMIDDLEANDAMAN 2010 WholeYear Coconut 3668 12700000
AndamanandNicobarIslands NORTHANDMIDDLEANDAMAN 2010 WholeYear Tapioca 186 1355
AndamanandNicobarIslands SOUTHANDAMANS 2002 Kharif Rice 10695 316002
AndamanandNicobarIslands SOUTHANDAMANS 2002 WholeYear Arecanut 3105 5267
AndamanandNicobarIslands SOUTHANDAMANS 2002 WholeYear Banana 1524 10882
AndamanandNicobarIslands SOUTHANDAMANS 2002 WholeYear Blackpepper 487 102
AndamanandNicobarIslands SOUTHANDAMANS 2002 WholeYear Cashewnut 81 24
AndamanandNicobarIslands SOUTHANDAMANS 2002 WholeYear Coconut 7060 26830000
AndamanandNicobarIslands SOUTHANDAMANS 2002 WholeYear Drychillies 239 20.9
AndamanandNicobarIslands SOUTHANDAMANS 2002 WholeYear Dryginger 352 1145
AndamanandNicobarIslands SOUTHANDAMANS 2002 WholeYear otheroilseeds 85 401
AndamanandNicobarIslands SOUTHANDAMANS 2002 WholeYear Sugarcane 455 13760
AndamanandNicobarIslands SOUTHANDAMANS 2003 Kharif Rice 105097 30760
AndamanandNicobarIslands SOUTHANDAMANS 2003 WholeYear Arecanut 3118 5182
AndamanandNicobarIslands SOUTHANDAMANS 2003 WholeYear Banana 1530 11558
AndamanandNicobarIslands SOUTHANDAMANS 2003 WholeYear Blackpepper 497 1047
AndamanandNicobarIslands SOUTHANDAMANS 2003 WholeYear Cashewnut 116 264
